Team,Wins
ColeAnthony,"{0: '                Pass To  FREQ\xa0M%\n0          Howard, Jett      0.1\n1        Black, Anthony      4.1\n2        Houstan, Caleb      1.8\n3       Banchero, Paolo     19.1\n4          Suggs, Jalen      3.3\n5         Wagner, Franz     17.8\n6       Queen, Trevelin      0.3\n7    Schofield, Admiral      0.4\n8          Okeke, Chuma      0.9\n9         Bitadze, Goga      2.2\n10       Wagner, Moritz     18.0\n11  Carter Jr., Wendell      3.0\n12      Isaac, Jonathan      5.7\n13      Fultz, Markelle      5.1\n14          Ingles, Joe     13.4\n15         Harris, Gary      4.7', 1: '              Pass From  FREQ\xa0R%\n0          Howard, Jett      0.0\n1        Black, Anthony      4.9\n2        Houstan, Caleb      2.4\n3       Banchero, Paolo     16.6\n4          Suggs, Jalen      3.6\n5         Wagner, Franz     12.0\n6       Queen, Trevelin      0.4\n7    Schofield, Admiral      0.4\n8          Okeke, Chuma      2.2\n9         Bitadze, Goga      2.5\n10       Wagner, Moritz     16.3\n11  Carter Jr., Wendell      3.6\n12      Isaac, Jonathan     12.4\n13      Fultz, Markelle      4.1\n14          Ingles, Joe     14.1\n15         Harris, Gary      4.5'}"
OGAnunoby,"{0: '                Pass To  FREQ\xa0M%\n0         Sims, Jericho      0.2\n1        McBride, Miles      3.2\n2        Flynn, Malachi      0.5\n3     Achiuwa, Precious      1.7\n4       Grimes, Quentin      2.0\n5    Robinson, Mitchell      0.1\n6     DiVincenzo, Donte      4.7\n7        Brunson, Jalen     15.2\n8            Hart, Josh      5.0\n9   Hartenstein, Isaiah      3.6\n10       Randle, Julius      5.7\n11       Fournier, Evan      0.1\n12    Bogdanovic, Bojan      0.3\n13          Burks, Alec      0.3\n14         Dick, Gradey      0.5\n15      Barnes, Scottie     10.5\n16       Flynn, Malachi      3.9\n17    Achiuwa, Precious      2.1\n18     McDaniels, Jalen      0.5\n19      Trent Jr., Gary      3.5\n20       Boucher, Chris      1.2\n21       Siakam, Pascal      8.3\n22        Poeltl, Jakob      5.8\n23     Porter Jr., Otto      0.5\n24     Schroder, Dennis     20.9', 1: '              Pass From  FREQ\xa0R%\n0         Sims, Jericho      0.4\n1        McBride, Miles      3.0\n2        Flynn, Malachi      0.6\n3     Achiuwa, Precious      1.7\n4       Grimes, Quentin      1.7\n5     DiVincenzo, Donte      5.0\n6        Brunson, Jalen     10.3\n7            Hart, Josh      6.3\n8   Hartenstein, Isaiah      5.0\n9        Randle, Julius      5.8\n10       Fournier, Evan      0.1\n11    Bogdanovic, Bojan      0.3\n12          Burks, Alec      0.1\n13         Dick, Gradey      0.4\n14      Barnes, Scottie     12.1\n15       Flynn, Malachi      5.3\n16    Achiuwa, Precious      2.4\n17     McDaniels, Jalen      0.4\n18      Trent Jr., Gary      2.8\n19       Boucher, Chris      0.5\n20       Siakam, Pascal      9.9\n21        Poeltl, Jakob      7.1\n22     Porter Jr., Otto      0.6\n23     Schroder, Dennis     18.4'}"
RyanArcidiacono,"{0: '               Pass To  FREQ\xa0M%\n0        Toppin, Jacob      2.1\n1        Sims, Jericho     14.6\n2       McBride, Miles     31.3\n3       Flynn, Malachi     14.6\n4    Achiuwa, Precious      2.1\n5   Brown Jr., Charlie      4.2\n6       Windler, Dylan      6.3\n7      Grimes, Quentin     10.4\n8     Jeffries, DaQuan      8.3\n9    DiVincenzo, Donte      4.2\n10         Gibson, Taj      2.1', 1: '            Pass From  FREQ\xa0R%\n0       Toppin, Jacob      2.9\n1       Sims, Jericho     37.1\n2      McBride, Miles     25.7\n3      Flynn, Malachi      8.6\n4   Achiuwa, Precious      5.7\n5      Windler, Dylan      2.9\n6     Grimes, Quentin      5.7\n7    Jeffries, DaQuan      2.9\n8   DiVincenzo, Donte      2.9\n9          Hart, Josh      2.9\n10        Gibson, Taj      2.9'}"
DeniAvdija,"{0: '                 Pass To  FREQ\xa0M%\n0      Vukcevic, Tristan      1.1\n1       Coulibaly, Bilal      4.0\n2         Bernard, Jules      0.2\n3          Rollins, Ryan      0.1\n4   Baldwin Jr., Patrick      1.5\n5          Davis, Johnny      1.4\n6        Omoruyi, Eugene      1.2\n7         Kispert, Corey      8.5\n8     Champagnie, Justin      0.2\n9          Gill, Anthony      2.0\n10         Butler, Jared      4.1\n11         Poole, Jordan     20.7\n12       Gafford, Daniel      3.7\n13        Shamet, Landry      3.6\n14       Diallo, Hamidou      0.0\n15    Bagley III, Marvin      1.7\n16           Kuzma, Kyle     11.6\n17       Holmes, Richaun      0.7\n18         Wright, Delon      3.4\n19           Jones, Tyus     26.9\n20         Muscala, Mike      1.3\n21     Gallinari, Danilo      2.0', 1: '               Pass From  FREQ\xa0R%\n0      Vukcevic, Tristan      1.3\n1       Coulibaly, Bilal      4.8\n2          Rollins, Ryan      0.2\n3   Baldwin Jr., Patrick      2.6\n4          Davis, Johnny      1.8\n5        Omoruyi, Eugene      1.4\n6         Kispert, Corey      9.4\n7     Champagnie, Justin      0.5\n8          Gill, Anthony      2.3\n9          Butler, Jared      4.2\n10         Poole, Jordan     16.1\n11       Gafford, Daniel      7.4\n12        Shamet, Landry      4.0\n13       Diallo, Hamidou      0.0\n14    Bagley III, Marvin      3.0\n15           Kuzma, Kyle     10.2\n16       Holmes, Richaun      1.1\n17         Wright, Delon      4.0\n18           Jones, Tyus     21.2\n19         Muscala, Mike      2.2\n20     Gallinari, Danilo      2.2'}"
DeandreAyton,"{0: '                 Pass To  FREQ\xa0M%\n0            Reath, Duop      0.1\n1        Camara, Toumani      3.3\n2          Rupert, Rayan      1.2\n3         Minaya, Justin      0.2\n4           Murray, Kris      3.5\n5         Walker, Jabari      3.3\n6        Bouyea, Jamaree      0.7\n7        Sharpe, Shaedon      7.0\n8       Henderson, Scoot     21.9\n9         Banton, Dalano      6.9\n10          Mays, Skylar      4.2\n11        Hagans, Ashton      1.5\n12     Thybulle, Matisse      4.3\n13  Williams III, Robert      0.1\n14      Simons, Anfernee     20.2\n15      Brogdon, Malcolm     12.9\n16         Grant, Jerami      8.8', 1: '               Pass From  FREQ\xa0R%\n0            Reath, Duop      0.4\n1        Camara, Toumani      4.5\n2          Rupert, Rayan      1.7\n3         Minaya, Justin      0.4\n4           Murray, Kris      3.2\n5         Walker, Jabari      3.9\n6        Bouyea, Jamaree      0.4\n7        Sharpe, Shaedon      5.4\n8       Henderson, Scoot     22.7\n9         Banton, Dalano      7.4\n10          Mays, Skylar      3.9\n11        Hagans, Ashton      1.6\n12     Thybulle, Matisse      5.4\n13  Williams III, Robert      0.1\n14      Simons, Anfernee     18.6\n15      Brogdon, Malcolm      9.5\n16         Grant, Jerami     10.9'}"
UdokaAzubuike,"{0: '              Pass To  FREQ\xa0M%\n0     Goodwin, Jordan     11.3\n1          Lee, Saben      8.5\n2       Maledon, Theo      4.2\n3      Little, Nassir      9.9\n4      Watanabe, Yuta      1.4\n5        Okogie, Josh      1.4\n6      Metu, Chimezie      2.8\n7   Bates-Diop, Keita      1.4\n8      Allen, Grayson      5.6\n9       Booker, Devin     29.6\n10      Beal, Bradley      7.0\n11     Thomas, Isaiah      1.4\n12       Gordon, Eric      1.4\n13      Durant, Kevin     14.1', 1: '            Pass From  FREQ\xa0R%\n0     Goodwin, Jordan      5.5\n1          Lee, Saben      7.3\n2       Maledon, Theo      3.6\n3      Little, Nassir      3.6\n4            Bol, Bol      1.8\n5      Watanabe, Yuta      1.8\n6        Okogie, Josh      5.5\n7      Metu, Chimezie      1.8\n8   Bates-Diop, Keita      3.6\n9      Allen, Grayson      9.1\n10      Booker, Devin     20.0\n11      Beal, Bradley      3.6\n12     Thomas, Isaiah      1.8\n13       Gordon, Eric      1.8\n14      Durant, Kevin     29.1'}"
IbouBadji,"{0: '              Pass To  FREQ\xa0M%\n0     Camara, Toumani      4.3\n1       Rupert, Rayan      4.8\n2         Moore, Taze      1.1\n3      Minaya, Justin      3.2\n4        Murray, Kris      5.3\n5      Walker, Jabari      1.6\n6     Sharpe, Shaedon      4.3\n7    Henderson, Scoot     28.7\n8      Wainright, Ish      1.1\n9      Banton, Dalano      3.7\n10       Mays, Skylar      5.3\n11     Hagans, Ashton      3.7\n12  Thybulle, Matisse      3.2\n13   Simons, Anfernee     14.4\n14   Brogdon, Malcolm      9.0\n15      Grant, Jerami      6.4', 1: '            Pass From  FREQ\xa0R%\n0     Camara, Toumani      3.6\n1       Rupert, Rayan      7.3\n2         Moore, Taze      1.8\n3      Minaya, Justin      4.5\n4        Murray, Kris      8.2\n5      Walker, Jabari      2.7\n6     Sharpe, Shaedon      3.6\n7    Henderson, Scoot     15.5\n8      Banton, Dalano      5.5\n9        Mays, Skylar      6.4\n10     Hagans, Ashton     10.9\n11  Thybulle, Matisse      5.5\n12   Simons, Anfernee      9.1\n13   Brogdon, Malcolm      9.1\n14      Grant, Jerami      6.4'}"
MarvinBagley III,"{0: '                 Pass To  FREQ\xa0M%\n0        Thompson, Ausar      3.1\n1         Sasser, Marcus      7.4\n2          Rhoden, Jared      0.5\n3            Ivey, Jaden      3.9\n4         Umude, Stanley      0.8\n5       Cunningham, Cade     14.5\n6         Livers, Isaiah      0.6\n7        Stewart, Isaiah      2.0\n8         Hayes, Killian      7.4\n9         Knox II, Kevin      0.9\n10           Harris, Joe      0.4\n11     Bogdanovic, Bojan      0.8\n12           Burks, Alec      3.7\n13     Vukcevic, Tristan      0.1\n14      Coulibaly, Bilal      2.2\n15        Bernard, Jules      0.2\n16  Baldwin Jr., Patrick      0.4\n17         Davis, Johnny      0.3\n18        Kispert, Corey      4.5\n19    Champagnie, Justin      0.4\n20         Butler, Jared      1.7\n21          Avdija, Deni      6.5\n22         Poole, Jordan     10.0\n23        Shamet, Landry      2.2\n24           Kuzma, Kyle      6.3\n25         Wright, Delon      3.8\n26           Jones, Tyus     15.3', 1: '               Pass From  FREQ\xa0R%\n0        Thompson, Ausar      4.9\n1         Sasser, Marcus      7.9\n2          Rhoden, Jared      0.2\n3            Ivey, Jaden      6.1\n4         Umude, Stanley      1.1\n5       Cunningham, Cade     13.8\n6         Livers, Isaiah      0.2\n7        Stewart, Isaiah      2.5\n8         Hayes, Killian      8.3\n9         Wiseman, James      0.2\n10        Knox II, Kevin      0.7\n11           Harris, Joe      0.7\n12     Bogdanovic, Bojan      1.1\n13           Burks, Alec      2.5\n14     Vukcevic, Tristan      0.1\n15      Coulibaly, Bilal      3.3\n16        Bernard, Jules      0.4\n17  Baldwin Jr., Patrick      0.4\n18         Davis, Johnny      0.4\n19        Kispert, Corey      3.9\n20    Champagnie, Justin      0.4\n21         Butler, Jared      2.4\n22          Avdija, Deni      5.6\n23         Poole, Jordan      7.7\n24       Gafford, Daniel      0.1\n25        Shamet, Landry      2.3\n26           Kuzma, Kyle      5.9\n27         Wright, Delon      3.8\n28           Jones, Tyus     13.0'}"
AmariBailey,"{0: '               Pass To  FREQ\xa0M%\n0         Black, Leaky      9.5\n1      Smith Jr., Nick     33.3\n2      McGowens, Bryce     11.9\n3             Thor, JT     11.9\n4     Bouknight, James      2.4\n5            Mann, Tre     11.9\n6       Richards, Nick      4.8\n7  Pokusevski, Aleksej     11.9\n8      Bolden, Marques      2.4', 1: '             Pass From  FREQ\xa0R%\n0         Black, Leaky     13.6\n1      Smith Jr., Nick     25.4\n2      McGowens, Bryce     16.9\n3             Thor, JT     13.6\n4     Bouknight, James      1.7\n5            Mann, Tre     10.2\n6       Richards, Nick      3.4\n7  Pokusevski, Aleksej      8.5\n8      Bolden, Marques      6.8'}"
PatrickBaldwin Jr.,"{0: '               Pass To  FREQ\xa0M%\n0    Vukcevic, Tristan      2.0\n1     Coulibaly, Bilal      3.0\n2       Bernard, Jules      7.3\n3        Rollins, Ryan      2.4\n4        Davis, Johnny      5.1\n5      Omoruyi, Eugene      1.6\n6       Kispert, Corey      8.7\n7   Champagnie, Justin      2.8\n8        Gill, Anthony      2.8\n9        Butler, Jared     22.1\n10        Avdija, Deni     12.2\n11       Poole, Jordan     18.5\n12      Shamet, Landry      1.4\n13     Diallo, Hamidou      0.4\n14  Bagley III, Marvin      0.8\n15         Kuzma, Kyle      2.0\n16     Holmes, Richaun      1.2\n17       Wright, Delon      5.3\n18         Jones, Tyus      0.6', 1: '             Pass From  FREQ\xa0R%\n0    Vukcevic, Tristan      2.3\n1     Coulibaly, Bilal      4.2\n2       Bernard, Jules      9.1\n3        Rollins, Ryan      1.4\n4        Davis, Johnny      5.7\n5      Omoruyi, Eugene      1.7\n6       Kispert, Corey      9.1\n7   Champagnie, Justin      5.1\n8        Gill, Anthony      6.8\n9        Butler, Jared     15.0\n10        Avdija, Deni     12.7\n11       Poole, Jordan     14.7\n12      Shamet, Landry      0.6\n13     Diallo, Hamidou      0.6\n14  Bagley III, Marvin      1.1\n15         Kuzma, Kyle      2.3\n16     Holmes, Richaun      0.8\n17       Wright, Delon      5.7\n18         Jones, Tyus      1.1'}"
